source,target,frequency,traj_ids
167,168,9,"[66, 149, 197, 240, 804, 857, 873, 926, 1054]"
168,169,10,"[66, 149, 197, 240, 750, 804, 857, 873, 926, 1054]"
169,170,1,[67]
170,169,1,[67]
169,168,10,"[67, 150, 198, 241, 750, 805, 845, 874, 927, 1055]"
168,167,11,"[67, 150, 198, 241, 741, 750, 805, 845, 874, 927, 1055]"
167,171,8,"[67, 150, 198, 241, 805, 845, 874, 1055]"
171,164,8,"[67, 150, 198, 241, 805, 845, 874, 1055]"
164,163,8,"[67, 150, 198, 241, 805, 845, 927, 1055]"
163,162,8,"[67, 150, 198, 241, 805, 845, 927, 1055]"
162,0,8,"[67, 150, 198, 241, 805, 845, 927, 1055]"
0,172,6,"[71, 186, 658, 775, 958, 964]"
172,173,4,"[71, 186, 658, 775]"
173,174,5,"[71, 186, 404, 658, 775]"
174,175,5,"[71, 186, 404, 658, 775]"
175,176,2,"[71, 775]"
176,177,4,"[71, 186, 658, 775]"
177,178,7,"[71, 186, 404, 595, 658, 958, 964]"
178,179,6,"[71, 186, 404, 489, 595, 658]"
179,178,6,"[71, 186, 404, 489, 595, 658]"
178,177,6,"[71, 186, 404, 489, 595, 658]"
177,175,2,"[71, 658]"
175,173,4,"[71, 489, 595, 658]"
173,0,1,[71]
159,0,4,"[75, 97, 282, 637]"
0,180,6,"[77, 201, 414, 681, 1058, 1081]"
180,0,6,"[77, 201, 414, 681, 1058, 1081]"
0,181,10,"[78, 79, 129, 300, 415, 469, 679, 752, 860, 930]"
181,275,5,"[78, 79, 300, 415, 752]"
275,182,4,"[78, 79, 300, 415]"
182,183,4,"[78, 300, 415, 469]"
183,184,5,"[78, 129, 300, 415, 860]"
184,185,4,"[78, 129, 415, 860]"
185,186,8,"[78, 79, 129, 300, 415, 469, 860, 930]"
186,187,9,"[78, 79, 129, 300, 415, 469, 679, 752, 930]"
187,188,9,"[78, 79, 129, 300, 415, 469, 679, 752, 930]"
188,189,10,"[78, 79, 129, 300, 415, 469, 679, 752, 860, 930]"
189,190,10,"[78, 79, 129, 300, 415, 469, 679, 752, 860, 930]"
190,161,9,"[78, 79, 129, 300, 415, 679, 752, 860, 930]"
161,191,3,"[78, 79, 860]"
191,195,2,"[78, 79]"
195,161,2,"[78, 79]"
161,195,2,"[78, 79]"
195,191,2,"[78, 79]"
191,161,3,"[78, 79, 860]"
161,190,6,"[78, 79, 129, 300, 679, 860]"
190,189,6,"[78, 79, 129, 300, 679, 860]"
189,188,6,"[78, 79, 129, 300, 679, 860]"
188,186,6,"[78, 79, 129, 300, 679, 860]"
186,192,3,"[78, 79, 679]"
192,193,1,[78]
193,181,1,[78]
181,0,5,"[78, 79, 129, 300, 860]"
182,194,1,[79]
194,192,4,"[79, 679, 752, 930]"
192,185,4,"[79, 300, 469, 930]"
192,183,2,"[79, 679]"
183,182,1,[79]
182,196,3,"[79, 300, 860]"
196,181,3,"[79, 300, 860]"
197,198,6,"[81, 86, 95, 102, 109, 115]"
198,199,6,"[81, 86, 95, 102, 109, 115]"
199,200,6,"[81, 86, 95, 102, 109, 115]"
200,201,3,"[81, 115, 395]"
201,202,3,"[81, 115, 395]"
202,203,11,"[81, 86, 95, 99, 109, 115, 395, 399, 777, 778, 836]"
203,0,11,"[81, 86, 95, 99, 109, 115, 395, 399, 777, 778, 836]"
0,12,23,"[83, 131, 263, 304, 313, 392, 413, 417, 508, 516, 521, 529, 604, 606, 607, 769, 770, 855, 903, 922, 930, 1092, 1100]"
12,204,5,"[83, 313, 506, 508, 770]"
204,205,5,"[83, 313, 506, 508, 770]"
205,215,6,"[83, 141, 443, 516, 1013, 1100]"
215,25,6,"[83, 141, 443, 516, 1013, 1100]"
25,206,6,"[83, 141, 143, 444, 769, 880]"
206,207,11,"[83, 141, 143, 304, 443, 444, 769, 770, 879, 880, 1017]"
207,208,11,"[83, 141, 143, 304, 443, 444, 769, 770, 879, 880, 1017]"
208,209,10,"[83, 141, 143, 304, 443, 444, 769, 879, 880, 1017]"
209,210,10,"[83, 141, 143, 304, 443, 444, 769, 879, 880, 1017]"
210,211,4,"[83, 141, 143, 304]"
211,212,1,[83]
212,213,4,"[83, 141, 143, 304]"
213,211,4,"[83, 141, 143, 304]"
211,210,4,"[83, 141, 143, 304]"
210,214,2,"[83, 143]"
214,25,9,"[83, 141, 143, 304, 443, 769, 770, 880, 1017]"
25,215,11,"[83, 141, 143, 304, 445, 523, 606, 880, 904, 1011, 1018]"
215,205,11,"[83, 141, 143, 304, 445, 523, 606, 880, 904, 1011, 1018]"
205,294,11,"[83, 141, 143, 314, 445, 509, 517, 606, 771, 1011, 1018]"
294,216,9,"[83, 141, 143, 314, 445, 517, 606, 1011, 1018]"
216,12,10,"[83, 141, 143, 314, 445, 506, 517, 606, 1011, 1018]"
12,0,21,"[83, 131, 304, 314, 413, 468, 506, 509, 523, 606, 608, 770, 831, 858, 880, 904, 922, 930, 1011, 1014, 1092]"
200,217,2,"[86, 99]"
217,202,2,"[86, 99]"
0,218,6,"[87, 127, 149, 174, 427, 998]"
218,0,4,"[87, 127, 426, 427]"
0,219,7,"[94, 157, 219, 225, 1089]"
219,0,8,"[94, 157, 219, 225, 1089]"
0,220,9,"[94, 100, 125, 395, 586, 592, 596, 602, 1095]"
220,548,2,"[94, 602]"
548,221,1,[94]
221,0,4,"[94, 108, 114, 125]"
0,197,1,[95]
200,202,5,"[95, 109, 399, 777, 778]"
0,222,1,[96]
222,0,2,"[96, 501]"
0,203,11,"[99, 110, 114, 239, 250, 399, 588, 777, 778, 836, 909]"
203,202,11,"[99, 110, 114, 239, 250, 399, 588, 777, 778, 836, 909]"
202,217,5,"[99, 114, 399, 588, 909]"
217,200,5,"[99, 114, 399, 588, 909]"
220,157,1,[100]
157,573,2,"[100, 1018]"
573,0,2,"[100, 1018]"
200,0,4,"[102, 108, 114, 909]"
0,224,3,"[104, 840, 900]"
224,0,3,"[104, 840, 900]"
11,225,11,"[105, 116, 117, 118, 129, 469, 648, 679, 813, 830]"
225,226,11,"[105, 116, 117, 118, 129, 469, 648, 679, 813, 830]"
226,227,11,"[105, 116, 117, 118, 129, 469, 648, 679, 813, 830]"
227,228,7,"[105, 116, 117, 118, 648, 813]"
228,229,6,"[105, 116, 117, 118, 648, 813]"
229,230,6,"[105, 116, 117, 118, 648, 813]"
230,231,9,"[105, 116, 117, 118, 129, 648, 813, 830]"
231,232,7,"[105, 116, 117, 118, 469, 648]"
232,233,6,"[105, 116, 117, 118, 648]"
233,0,8,"[105, 116, 117, 118, 129, 648, 813, 830]"
0,153,11,"[105, 302, 308, 311, 314, 320, 504, 853, 866, 916, 1081]"
153,152,11,"[105, 302, 308, 311, 314, 320, 504, 853, 866, 916, 1081]"
152,151,13,"[105, 116, 118, 308, 314, 320, 405, 504, 813, 853, 866, 916, 1081]"
151,150,13,"[105, 116, 118, 308, 314, 320, 405, 504, 813, 853, 866, 916, 1081]"
150,234,6,"[105, 116, 311, 405, 504, 813]"
234,149,2,"[105, 116]"
149,148,10,"[105, 116, 118, 302, 308, 314, 320, 853, 866, 1081]"
148,147,13,"[105, 116, 118, 302, 308, 311, 314, 320, 813, 853, 866, 916, 1081]"
147,270,3,"[105, 504, 813]"
270,146,3,"[105, 504, 813]"
146,145,15,"[105, 116, 118, 302, 308, 311, 314, 320, 405, 504, 813, 853, 866, 916, 1081]"
150,152,5,"[105, 303, 321, 853, 1081]"
0,233,8,"[105, 116, 300, 321, 489, 648, 830, 853]"
233,251,3,"[105, 830, 853]"
251,230,3,"[105, 116, 853]"
230,229,5,"[105, 118, 129, 489, 830]"
229,228,4,"[105, 118, 129, 489]"
228,227,5,"[105, 118, 129, 300, 489]"
227,226,9,"[105, 116, 118, 129, 300, 321, 489, 648, 853]"
226,225,10,"[105, 116, 118, 129, 300, 321, 489, 648, 830, 853]"
225,11,13,"[105, 116, 117, 118, 129, 300, 321, 489, 648, 830, 852, 853]"
11,10,11,"[105, 116, 117, 129, 300, 321, 489, 648, 852, 853]"
