SN,SG,k
"[4, 196, 92, 196]","[[71, 57]]",4
"[196, 92, 196, 92]","[[71, 57]]",4
"[92, 196, 92, 20]","[[71, 57]]",4
"[196, 92, 20, 4]","[[71, 57]]",4
"[92, 20, 4, 83]","[[71, 57]]",4
"[20, 4, 83, 0]","[[71, 57]]",4
"[0, 4, 196, 92, 196]","[[71, 57]]",5
"[4, 196, 92, 196, 92]","[[71, 57]]",5
"[196, 92, 196, 92, 20]","[[71, 57]]",5
"[92, 196, 92, 20, 4]","[[71, 57]]",5
"[196, 92, 20, 4, 83]","[[71, 57]]",5
"[92, 20, 4, 83, 0]","[[71, 57]]",5
"[0, 4, 196, 92, 196, 92]","[[71, 57]]",6
"[4, 196, 92, 196, 92, 20]","[[71, 57]]",6
"[196, 92, 196, 92, 20, 4]","[[71, 57]]",6
"[92, 196, 92, 20, 4, 83]","[[71, 57]]",6
"[196, 92, 20, 4, 83, 0]","[[71, 57]]",6
"[0, 4, 196, 92, 196, 92, 20]","[[71, 57]]",7
"[4, 196, 92, 196, 92, 20, 4]","[[71, 57]]",7
"[196, 92, 196, 92, 20, 4, 83]","[[71, 57]]",7
"[92, 196, 92, 20, 4, 83, 0]","[[71, 57]]",7
"[0, 4, 196, 92, 196, 92, 20, 4]","[[71, 57]]",8
"[4, 196, 92, 196, 92, 20, 4, 83]","[[71, 57]]",8
"[196, 92, 196, 92, 20, 4, 83, 0]","[[71, 57]]",8
"[0, 4, 196, 92, 196, 92, 20, 4, 83]","[[71, 57]]",9
"[4, 196, 92, 196, 92, 20, 4, 83, 0]","[[71, 57]]",9
"[0, 4, 196, 92, 196, 92, 20, 4, 83, 0]","[[71, 57]]",10
"[83, 197]","[[71, 58]]",2
"[197, 0]","[[71, 58], [71, 62]]",2
"[0, 132]","[[71, 58]]",2
"[132, 223]","[[71, 58]]",2
"[83, 197, 0]","[[71, 58]]",3
"[197, 0, 134]","[[71, 58]]",3
"[134, 0, 132]","[[71, 58]]",3
"[0, 132, 223]","[[71, 58]]",3
"[132, 223, 0]","[[71, 58]]",3
"[83, 197, 0, 134]","[[71, 58]]",4
"[197, 0, 134, 0]","[[71, 58]]",4
"[0, 134, 0, 132]","[[71, 58]]",4
"[134, 0, 132, 223]","[[71, 58]]",4
"[0, 132, 223, 0]","[[71, 58]]",4
"[83, 197, 0, 134, 0]","[[71, 58]]",5
"[197, 0, 134, 0, 132]","[[71, 58]]",5
"[0, 134, 0, 132, 223]","[[71, 58]]",5
"[134, 0, 132, 223, 0]","[[71, 58]]",5
"[83, 197, 0, 134, 0, 132]","[[71, 58]]",6
"[197, 0, 134, 0, 132, 223]","[[71, 58]]",6
"[0, 134, 0, 132, 223, 0]","[[71, 58]]",6
"[83, 197, 0, 134, 0, 132, 223]","[[71, 58]]",7
"[197, 0, 134, 0, 132, 223, 0]","[[71, 58]]",7
"[83, 197, 0, 134, 0, 132, 223, 0]","[[71, 58]]",8
"[0, 197]","[[71, 62]]",2
"[6, 0, 197]","[[71, 62]]",3
"[0, 197, 0]","[[71, 62]]",3
"[6, 0, 197, 0]","[[71, 62]]",4
"[0, 28, 0]","[[71, 63]]",3
"[83, 0, 4]","[[71, 71]]",3
"[0, 28, 83]","[[71, 73]]",3
"[41, 6]","[[73, 9], [104, 7], [104, 57], [104, 100]]",2
"[0, 41, 6]","[[73, 9]]",3
"[41, 6, 0]","[[73, 9]]",3
"[0, 41, 6, 0]","[[73, 9]]",4
"[0, 198]","[[73, 13]]",2
"[198, 199]","[[73, 13], [73, 20]]",2
"[0, 198, 199]","[[73, 13]]",3
"[199, 198]","[[73, 14], [73, 20]]",2
"[198, 190]","[[73, 14]]",2
"[199, 198, 190]","[[73, 14]]",3
"[190, 198]","[[73, 20]]",2
"[198, 25]","[[73, 20]]",2
"[190, 198, 199]","[[73, 20]]",3
"[198, 199, 198]","[[73, 20]]",3
"[199, 198, 25]","[[73, 20]]",3
"[198, 25, 0]","[[73, 20]]",3
"[190, 198, 199, 198]","[[73, 20]]",4
"[198, 199, 198, 25]","[[73, 20]]",4
"[199, 198, 25, 0]","[[73, 20]]",4
"[190, 198, 199, 198, 25]","[[73, 20]]",5
"[198, 199, 198, 25, 0]","[[73, 20]]",5
"[190, 198, 199, 198, 25, 0]","[[73, 20]]",6
"[18, 35]","[[74, 2]]",2
"[83, 18, 35]","[[74, 2]]",3
"[151, 6]","[[74, 14]]",2
"[78, 0]","[[74, 16], [74, 28], [74, 90], [74, 91], [134, 44]]",2
"[83, 21, 78]","[[74, 16]]",3
"[21, 78, 0]","[[74, 16]]",3
"[83, 21, 78, 0]","[[74, 16]]",4
"[0, 6, 83]","[[74, 68]]",3
"[0, 6, 83, 0]","[[74, 68]]",4
"[83, 18, 0]","[[74, 72]]",3
"[0, 18, 83]","[[74, 78]]",3
"[167, 0]","[[78, 20], [91, 17], [91, 35]]",2
"[0, 167, 0]","[[78, 20]]",3
"[0, 200]","[[78, 25]]",2
"[0, 159]","[[78, 43]]",2
"[159, 0]","[[78, 44]]",2
"[13, 0]","[[78, 67], [82, 10]]",2
"[0, 13, 0]","[[78, 67]]",3
"[0, 201]","[[78, 95]]",2
"[201, 167]","[[78, 95]]",2
"[167, 10]","[[78, 95]]",2
"[10, 99]","[[78, 95]]",2
"[0, 201, 167]","[[78, 95]]",3
"[201, 167, 10]","[[78, 95]]",3
"[167, 10, 99]","[[78, 95]]",3
"[10, 99, 0]","[[78, 95]]",3
"[0, 201, 167, 10]","[[78, 95]]",4
"[201, 167, 10, 99]","[[78, 95]]",4
"[167, 10, 99, 0]","[[78, 95]]",4
"[0, 201, 167, 10, 99]","[[78, 95]]",5
"[201, 167, 10, 99, 0]","[[78, 95]]",5
"[0, 201, 167, 10, 99, 0]","[[78, 95]]",6
"[0, 8, 20]","[[82, 17]]",3
"[8, 20, 0]","[[82, 17]]",3
"[0, 8, 20, 0]","[[82, 17]]",4
"[0, 152]","[[82, 18]]",2
"[152, 0]","[[82, 18], [134, 58]]",2
"[0, 152, 0]","[[82, 18]]",3
"[202, 203]","[[82, 37]]",2
"[0, 204]","[[82, 39]]",2
"[204, 205]","[[82, 39]]",2
"[0, 204, 205]","[[82, 39]]",3
"[166, 0, 205]","[[82, 41]]",3
"[205, 10]","[[82, 42], [82, 51], [82, 85]]",2
"[205, 10, 107]","[[82, 42]]",3
"[11, 205]","[[82, 44]]",2
"[0, 11, 205]","[[82, 44]]",3
"[205, 193]","[[82, 46]]",2
"[193, 205]","[[82, 46], [82, 47], [82, 59], [82, 83]]",2
"[0, 205, 193]","[[82, 46]]",3
"[205, 193, 205]","[[82, 46]]",3
"[193, 205, 0]","[[82, 46]]",3
"[0, 205, 193, 205]","[[82, 46]]",4
"[205, 193, 205, 0]","[[82, 46]]",4
"[0, 205, 193, 205, 0]","[[82, 46]]",5
"[164, 193]","[[82, 47]]",2
"[0, 164, 193]","[[82, 47]]",3
"[164, 193, 205]","[[82, 47]]",3
"[0, 164, 193, 205]","[[82, 47]]",4
"[0, 206]","[[82, 52], [82, 66]]",2
"[206, 205]","[[82, 52], [82, 57], [82, 66], [82, 76], [82, 95]]",2
"[0, 206, 205]","[[82, 52], [82, 66]]",3
"[0, 107]","[[82, 55], [91, 25], [179, 6]]",2
"[107, 205]","[[82, 55]]",2
"[0, 107, 205]","[[82, 55]]",3
"[205, 39]","[[82, 56], [82, 74]]",2
"[11, 206]","[[82, 57]]",2
"[205, 207]","[[82, 57]]",2
"[0, 11, 206]","[[82, 57]]",3
"[11, 206, 205]","[[82, 57]]",3
"[206, 205, 207]","[[82, 57]]",3
"[0, 11, 206, 205]","[[82, 57]]",4
"[11, 206, 205, 207]","[[82, 57]]",4
"[0, 11, 206, 205, 207]","[[82, 57]]",5
"[0, 193, 205]","[[82, 59], [82, 83]]",3
"[205, 11]","[[82, 60]]",2
"[205, 164]","[[82, 63], [82, 70]]",2
"[205, 164, 0]","[[82, 63], [82, 70]]",3
"[54, 205]","[[82, 72]]",2
"[241, 200]","[[82, 79]]",2
"[200, 208]","[[82, 79]]",2
"[208, 205]","[[82, 79]]",2
"[241, 200, 208]","[[82, 79]]",3
"[200, 208, 205]","[[82, 79]]",3
"[241, 200, 208, 205]","[[82, 79]]",4
"[0, 39]","[[82, 88]]",2
"[0, 62]","[[82, 90], [82, 95]]",2
"[62, 193]","[[82, 90]]",2
"[0, 62, 193]","[[82, 90]]",3
"[62, 206]","[[82, 95]]",2
"[0, 62, 206]","[[82, 95]]",3
"[62, 206, 205]","[[82, 95]]",3
"[0, 62, 206, 205]","[[82, 95]]",4
"[205, 165]","[[82, 96]]",2
"[165, 0]","[[82, 96], [96, 87], [168, 1], [179, 58]]",2
"[6, 0, 205]","[[82, 96]]",3
"[0, 205, 165]","[[82, 96]]",3
"[205, 165, 0]","[[82, 96]]",3
"[4, 6, 0, 205]","[[82, 96]]",4
"[6, 0, 205, 165]","[[82, 96]]",4
"[0, 205, 165, 0]","[[82, 96]]",4
"[4, 6, 0, 205, 165]","[[82, 96]]",5
"[6, 0, 205, 165, 0]","[[82, 96]]",5
"[4, 6, 0, 205, 165, 0]","[[82, 96]]",6
"[209, 164]","[[91, 5], [91, 37], [91, 39], [91, 44], [91, 46], [91, 48], [91, 63], [91, 65], [91, 71], [91, 73], [91, 74], [91, 85], [91, 87]]",2
"[164, 209]","[[91, 6], [91, 8], [91, 10], [91, 15], [91, 47], [91, 62], [91, 72], [91, 80], [91, 82], [91, 88], [91, 89], [91, 95], [91, 98]]",2
"[0, 164, 209]","[[91, 15], [91, 47], [91, 72], [91, 80]]",3
"[0, 209]","[[91, 16], [91, 18], [91, 23], [91, 34], [91, 55], [91, 84], [91, 86], [91, 93]]",2
"[209, 167]","[[91, 17], [91, 28], [91, 35], [91, 58]]",2
"[209, 167, 0]","[[91, 17], [91, 35]]",3
"[209, 0, 4]","[[91, 19]]",3
"[209, 0, 4, 0]","[[91, 19]]",4
"[107, 164]","[[91, 25], [179, 6]]",2
"[0, 107, 164]","[[91, 25], [179, 6]]",3
"[164, 211]","[[91, 31]]",2
"[0, 164, 211]","[[91, 31]]",3
"[0, 212]","[[91, 33]]",2
"[99, 209]","[[91, 36], [91, 40]]",2
"[0, 99, 209]","[[91, 36], [91, 40]]",3
"[209, 164, 0]","[[91, 37], [91, 39], [91, 63], [91, 71], [91, 73]]",3
"[164, 107]","[[91, 48]]",2
"[209, 164, 107]","[[91, 48]]",3
"[209, 213]","[[91, 50], [91, 69], [91, 79]]",2
"[211, 213]","[[91, 66]]",2
"[209, 211]","[[91, 67], [91, 81]]",2
"[211, 0]","[[91, 67]]",2
"[209, 211, 0]","[[91, 67]]",3
"[213, 0]","[[91, 69]]",2
"[209, 213, 0]","[[91, 69]]",3
"[211, 164]","[[91, 77]]",2
"[33, 0, 164]","[[96, 3], [179, 36]]",3
"[34, 0, 3]","[[96, 12]]",3
"[0, 34, 0, 3]","[[96, 12]]",4
"[34, 0, 3, 0]","[[96, 12]]",4
"[0, 3, 0, 34]","[[96, 12]]",4
"[0, 34, 0, 3, 0]","[[96, 12]]",5
"[34, 0, 3, 0, 34]","[[96, 12]]",5
"[0, 34, 0, 3, 0, 34]","[[96, 12]]",6
"[164, 214]","[[96, 13], [96, 92], [96, 97], [96, 103], [179, 6], [179, 11], [179, 18], [179, 32], [179, 34], [179, 36], [179, 41], [179, 44], [179, 51], [179, 61], [179, 65], [179, 70]]",2
"[214, 215]","[[96, 13], [96, 68], [96, 92], [179, 30], [179, 61]]",2
"[215, 0]","[[96, 13], [96, 92], [179, 61]]",2
"[0, 164, 214]","[[96, 13], [96, 92], [96, 103], [179, 32], [179, 36], [179, 51], [179, 61], [179, 70]]",3
"[164, 214, 215]","[[96, 13]]",3
"[214, 215, 0]","[[96, 13], [96, 92], [179, 61]]",3
"[0, 164, 214, 215]","[[96, 13]]",4
"[164, 214, 215, 0]","[[96, 13]]",4
"[0, 164, 214, 215, 0]","[[96, 13]]",5
"[22, 0]","[[96, 34]]",2
"[214, 216]","[[96, 49], [179, 30]]",2
"[216, 215]","[[96, 49]]",2
"[215, 164]","[[96, 49], [96, 80]]",2
"[214, 216, 215]","[[96, 49]]",3
"[216, 215, 164]","[[96, 49]]",3
"[215, 164, 0]","[[96, 49]]",3
"[164, 0, 34]","[[96, 49], [96, 59], [96, 100], [179, 32], [179, 67]]",3
"[34, 33, 34]","[[96, 49]]",3
"[214, 216, 215, 164]","[[96, 49]]",4
"[216, 215, 164, 0]","[[96, 49]]",4
"[215, 164, 0, 34]","[[96, 49]]",4
"[164, 0, 34, 0]","[[96, 49], [179, 32]]",4
"[0, 34, 0, 33]","[[96, 49]]",4
"[34, 0, 33, 34]","[[96, 49], [96, 109]]",4
"[33, 34, 33, 34]","[[96, 49]]",4
"[214, 216, 215, 164, 0]","[[96, 49]]",5
"[216, 215, 164, 0, 34]","[[96, 49]]",5
"[215, 164, 0, 34, 0]","[[96, 49]]",5
"[164, 0, 34, 0, 33]","[[96, 49]]",5
"[0, 34, 0, 33, 34]","[[96, 49]]",5
"[34, 0, 33, 34, 33]","[[96, 49]]",5
"[0, 33, 34, 33, 34]","[[96, 49]]",5
"[214, 216, 215, 164, 0, 34]","[[96, 49]]",6
"[216, 215, 164, 0, 34, 0]","[[96, 49]]",6
"[215, 164, 0, 34, 0, 33]","[[96, 49]]",6
"[164, 0, 34, 0, 33, 34]","[[96, 49]]",6
"[0, 34, 0, 33, 34, 33]","[[96, 49]]",6
"[34, 0, 33, 34, 33, 34]","[[96, 49]]",6
"[214, 216, 215, 164, 0, 34, 0]","[[96, 49]]",7
"[216, 215, 164, 0, 34, 0, 33]","[[96, 49]]",7
"[215, 164, 0, 34, 0, 33, 34]","[[96, 49]]",7
"[164, 0, 34, 0, 33, 34, 33]","[[96, 49]]",7
"[0, 34, 0, 33, 34, 33, 34]","[[96, 49]]",7
"[214, 216, 215, 164, 0, 34, 0, 33]","[[96, 49]]",8
"[216, 215, 164, 0, 34, 0, 33, 34]","[[96, 49]]",8
"[215, 164, 0, 34, 0, 33, 34, 33]","[[96, 49]]",8
"[164, 0, 34, 0, 33, 34, 33, 34]","[[96, 49]]",8
"[214, 216, 215, 164, 0, 34, 0, 33, 34]","[[96, 49]]",9
"[216, 215, 164, 0, 34, 0, 33, 34, 33]","[[96, 49]]",9
"[215, 164, 0, 34, 0, 33, 34, 33, 34]","[[96, 49]]",9
"[214, 216, 215, 164, 0, 34, 0, 33, 34, 33]","[[96, 49]]",10
"[216, 215, 164, 0, 34, 0, 33, 34, 33, 34]","[[96, 49]]",10
"[214, 216, 215, 164, 0, 34, 0, 33, 34, 33, 34]","[[96, 49]]",11
"[3, 19]","[[96, 57]]",2
"[19, 217]","[[96, 57]]",2
"[217, 34]","[[96, 57]]",2
"[0, 3, 19]","[[96, 57]]",3
"[3, 19, 217]","[[96, 57]]",3
"[19, 217, 34]","[[96, 57]]",3
"[0, 3, 19, 217]","[[96, 57]]",4
"[3, 19, 217, 34]","[[96, 57]]",4
"[0, 3, 19, 217, 34]","[[96, 57]]",5
"[0, 214]","[[96, 59], [96, 84], [179, 1], [179, 8], [179, 19], [179, 27], [179, 39]]",2
"[214, 210]","[[96, 59], [179, 14]]",2
"[210, 214]","[[96, 59], [179, 14], [179, 31]]",2
"[214, 164]","[[96, 59], [96, 96], [179, 4], [179, 17], [179, 27], [179, 32], [179, 40], [179, 42], [179, 54], [179, 64]]",2
"[0, 214, 210]","[[96, 59]]",3
"[214, 210, 214]","[[96, 59], [179, 14]]",3
"[210, 214, 164]","[[96, 59]]",3
"[214, 164, 0]","[[96, 59], [179, 4], [179, 17], [179, 27], [179, 32], [179, 40], [179, 42], [179, 54]]",3
"[0, 214, 210, 214]","[[96, 59]]",4
"[214, 210, 214, 164]","[[96, 59]]",4
"[210, 214, 164, 0]","[[96, 59]]",4
"[214, 164, 0, 34]","[[96, 59], [179, 32]]",4
"[0, 214, 210, 214, 164]","[[96, 59]]",5
"[214, 210, 214, 164, 0]","[[96, 59]]",5
"[210, 214, 164, 0, 34]","[[96, 59]]",5
"[0, 214, 210, 214, 164, 0]","[[96, 59]]",6
"[214, 210, 214, 164, 0, 34]","[[96, 59]]",6
"[0, 214, 210, 214, 164, 0, 34]","[[96, 59]]",7
"[215, 126]","[[96, 68]]",2
"[126, 34]","[[96, 68], [179, 5]]",2
"[214, 215, 126]","[[96, 68]]",3
"[215, 126, 34]","[[96, 68]]",3
"[214, 215, 126, 34]","[[96, 68]]",4
"[0, 218]","[[96, 69], [179, 33]]",2
"[218, 140]","[[96, 69]]",2
"[140, 25]","[[96, 69]]",2
"[34, 0, 218]","[[96, 69]]",3
"[0, 218, 140]","[[96, 69]]",3
"[218, 140, 25]","[[96, 69]]",3
"[34, 0, 218, 140]","[[96, 69]]",4
"[0, 218, 140, 25]","[[96, 69]]",4
"[34, 0, 218, 140, 25]","[[96, 69]]",5
"[164, 207]","[[96, 80]]",2
"[207, 0]","[[96, 80]]",2
"[215, 164, 207]","[[96, 80]]",3
"[164, 207, 0]","[[96, 80]]",3
"[207, 0, 33]","[[96, 80]]",3
"[215, 164, 207, 0]","[[96, 80]]",4
"[164, 207, 0, 33]","[[96, 80]]",4
"[215, 164, 207, 0, 33]","[[96, 80]]",5
"[214, 0]","[[96, 84], [179, 10], [179, 19], [179, 21], [179, 30], [179, 33], [179, 45], [179, 50]]",2
"[0, 214, 0]","[[96, 84]]",3
"[34, 20]","[[96, 85]]",2
"[4, 34]","[[96, 85]]",2
"[34, 20, 4]","[[96, 85]]",3
"[20, 4, 34]","[[96, 85]]",3
"[34, 20, 4, 34]","[[96, 85]]",4
"[214, 165]","[[96, 87], [179, 58]]",2
"[214, 165, 0]","[[96, 87], [179, 58]]",3
"[6, 43]","[[96, 89]]",2
"[6, 43, 0]","[[96, 89]]",3
"[43, 0, 34]","[[96, 89]]",3
"[6, 43, 0, 34]","[[96, 89]]",4
"[0, 16]","[[96, 92], [179, 61]]",2
"[16, 33]","[[96, 92], [179, 61]]",2
"[215, 0, 16]","[[96, 92], [179, 61]]",3
"[0, 16, 33]","[[96, 92], [179, 61]]",3
"[16, 33, 34]","[[96, 92], [179, 61]]",3
"[33, 34, 0]","[[96, 92], [179, 61]]",3
"[34, 0, 164]","[[96, 92], [179, 32], [179, 61]]",3
"[214, 215, 0, 16]","[[96, 92], [179, 61]]",4
"[215, 0, 16, 33]","[[96, 92], [179, 61]]",4
"[0, 16, 33, 34]","[[96, 92], [179, 61]]",4
"[16, 33, 34, 0]","[[96, 92], [179, 61]]",4
"[33, 34, 0, 164]","[[96, 92], [179, 61]]",4
"[34, 0, 164, 214]","[[96, 92], [179, 32], [179, 61]]",4
"[214, 215, 0, 16, 33]","[[96, 92], [179, 61]]",5
"[215, 0, 16, 33, 34]","[[96, 92], [179, 61]]",5
"[0, 16, 33, 34, 0]","[[96, 92], [179, 61]]",5
"[16, 33, 34, 0, 164]","[[96, 92], [179, 61]]",5
"[33, 34, 0, 164, 214]","[[96, 92], [179, 61]]",5
"[214, 215, 0, 16, 33, 34]","[[96, 92], [179, 61]]",6
"[215, 0, 16, 33, 34, 0]","[[96, 92], [179, 61]]",6
"[0, 16, 33, 34, 0, 164]","[[96, 92], [179, 61]]",6
"[16, 33, 34, 0, 164, 214]","[[96, 92], [179, 61]]",6
"[214, 215, 0, 16, 33, 34, 0]","[[96, 92], [179, 61]]",7
"[215, 0, 16, 33, 34, 0, 164]","[[96, 92], [179, 61]]",7
"[0, 16, 33, 34, 0, 164, 214]","[[96, 92], [179, 61]]",7
"[214, 215, 0, 16, 33, 34, 0, 164]","[[96, 92], [179, 61]]",8
"[215, 0, 16, 33, 34, 0, 164, 214]","[[96, 92], [179, 61]]",8
"[214, 215, 0, 16, 33, 34, 0, 164, 214]","[[96, 92], [179, 61]]",9
"[214, 212]","[[96, 94], [96, 99], [179, 7], [179, 12], [179, 16], [179, 30], [179, 31], [179, 62], [179, 66]]",2
"[212, 94]","[[96, 94], [179, 12], [179, 62]]",2
"[94, 85]","[[96, 94], [179, 62]]",2
"[85, 126]","[[96, 94], [179, 62]]",2
"[126, 3]","[[96, 94], [179, 62]]",2
"[214, 212, 94]","[[96, 94], [179, 12], [179, 62]]",3
"[212, 94, 85]","[[96, 94], [179, 62]]",3
"[94, 85, 126]","[[96, 94], [179, 62]]",3
"[85, 126, 3]","[[96, 94], [179, 62]]",3
"[126, 3, 0]","[[96, 94], [179, 62]]",3
"[3, 0, 20]","[[96, 94], [179, 62]]",3
"[0, 20, 4]","[[96, 94], [174, 12], [179, 10], [179, 62]]",3
"[20, 4, 20]","[[96, 94], [179, 62]]",3
"[4, 20, 0]","[[96, 94], [104, 84], [179, 62]]",3
"[214, 212, 94, 85]","[[96, 94], [179, 62]]",4
"[212, 94, 85, 126]","[[96, 94], [179, 62]]",4
"[94, 85, 126, 3]","[[96, 94], [179, 62]]",4
"[85, 126, 3, 0]","[[96, 94], [179, 62]]",4
"[126, 3, 0, 20]","[[96, 94], [179, 62]]",4
"[3, 0, 20, 4]","[[96, 94], [179, 62]]",4
"[0, 20, 4, 20]","[[96, 94], [179, 62]]",4
"[20, 4, 20, 0]","[[96, 94], [179, 62]]",4
"[214, 212, 94, 85, 126]","[[96, 94], [179, 62]]",5
"[212, 94, 85, 126, 3]","[[96, 94], [179, 62]]",5
"[94, 85, 126, 3, 0]","[[96, 94], [179, 62]]",5
"[85, 126, 3, 0, 20]","[[96, 94], [179, 62]]",5
"[126, 3, 0, 20, 4]","[[96, 94], [179, 62]]",5
"[3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",5
"[0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",5
"[214, 212, 94, 85, 126, 3]","[[96, 94], [179, 62]]",6
"[212, 94, 85, 126, 3, 0]","[[96, 94], [179, 62]]",6
"[94, 85, 126, 3, 0, 20]","[[96, 94], [179, 62]]",6
"[85, 126, 3, 0, 20, 4]","[[96, 94], [179, 62]]",6
"[126, 3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",6
"[3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",6
"[214, 212, 94, 85, 126, 3, 0]","[[96, 94], [179, 62]]",7
"[212, 94, 85, 126, 3, 0, 20]","[[96, 94], [179, 62]]",7
"[94, 85, 126, 3, 0, 20, 4]","[[96, 94], [179, 62]]",7
"[85, 126, 3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",7
"[126, 3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",7
"[214, 212, 94, 85, 126, 3, 0, 20]","[[96, 94], [179, 62]]",8
"[212, 94, 85, 126, 3, 0, 20, 4]","[[96, 94], [179, 62]]",8
"[94, 85, 126, 3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",8
"[85, 126, 3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",8
"[214, 212, 94, 85, 126, 3, 0, 20, 4]","[[96, 94], [179, 62]]",9
"[212, 94, 85, 126, 3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",9
"[94, 85, 126, 3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",9
"[214, 212, 94, 85, 126, 3, 0, 20, 4, 20]","[[96, 94], [179, 62]]",10
"[212, 94, 85, 126, 3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",10
"[214, 212, 94, 85, 126, 3, 0, 20, 4, 20, 0]","[[96, 94], [179, 62]]",11
"[67, 8]","[[96, 95], [179, 63]]",2
"[67, 8, 0]","[[96, 95], [179, 63]]",3
"[8, 0, 164]","[[96, 95], [179, 63]]",3
"[67, 8, 0, 164]","[[96, 95], [179, 63]]",4
"[222, 164]","[[96, 97], [179, 65]]",2
"[222, 164, 214]","[[96, 97], [179, 65]]",3
"[212, 67]","[[96, 99], [179, 66]]",2
"[67, 108]","[[96, 99], [179, 66]]",2
"[108, 128]","[[96, 99], [179, 66]]",2
"[128, 15]","[[96, 99], [179, 66]]",2
"[214, 212, 67]","[[96, 99], [179, 66]]",3
"[212, 67, 108]","[[96, 99], [179, 66]]",3
"[67, 108, 128]","[[96, 99], [179, 66]]",3
"[108, 128, 15]","[[96, 99], [179, 66]]",3
"[214, 212, 67, 108]","[[96, 99], [179, 66]]",4
"[212, 67, 108, 128]","[[96, 99], [179, 66]]",4
"[67, 108, 128, 15]","[[96, 99], [179, 66]]",4
"[214, 212, 67, 108, 128]","[[96, 99], [179, 66]]",5
"[212, 67, 108, 128, 15]","[[96, 99], [179, 66]]",5
"[214, 212, 67, 108, 128, 15]","[[96, 99], [179, 66]]",6
"[0, 164, 0]","[[96, 100], [179, 67]]",3
"[0, 164, 0, 34]","[[96, 100], [179, 67]]",4
"[39, 164]","[[96, 101], [179, 68]]",2
"[164, 215]","[[96, 101], [179, 60], [179, 68]]",2
"[39, 164, 215]","[[96, 101], [179, 68]]",3
"[30, 40]","[[96, 103], [179, 70]]",2
"[164, 0, 30]","[[96, 103]]",3
"[0, 30, 40]","[[96, 103]]",3
"[30, 40, 0]","[[96, 103], [179, 70]]",3
"[40, 0, 164]","[[96, 103], [179, 70]]",3
"[164, 0, 30, 40]","[[96, 103]]",4
"[0, 30, 40, 0]","[[96, 103]]",4
"[30, 40, 0, 164]","[[96, 103], [179, 70]]",4
"[40, 0, 164, 214]","[[96, 103], [179, 70]]",4
"[164, 0, 30, 40, 0]","[[96, 103]]",5
"[0, 30, 40, 0, 164]","[[96, 103]]",5
"[30, 40, 0, 164, 214]","[[96, 103], [179, 70]]",5
"[164, 0, 30, 40, 0, 164]","[[96, 103]]",6
"[0, 30, 40, 0, 164, 214]","[[96, 103]]",6
"[164, 0, 30, 40, 0, 164, 214]","[[96, 103]]",7
"[19, 34]","[[96, 105], [179, 49]]",2
"[0, 19, 34]","[[96, 105]]",3
"[27, 6]","[[96, 106], [179, 71]]",2
"[27, 6, 4]","[[96, 106], [179, 71]]",3
"[4, 0, 34]","[[96, 106], [179, 71]]",3
"[27, 6, 4, 0]","[[96, 106], [179, 71]]",4
"[6, 4, 0, 34]","[[96, 106], [179, 71]]",4
"[27, 6, 4, 0, 34]","[[96, 106], [179, 71]]",5
"[34, 3]","[[96, 107], [179, 18]]",2
"[0, 34, 3]","[[96, 107]]",3
"[34, 3, 0]","[[96, 107], [179, 18]]",3
"[0, 34, 3, 0]","[[96, 107]]",4
"[20, 175]","[[104, 1], [104, 101]]",2
"[0, 20, 175]","[[104, 1]]",3
"[20, 175, 41]","[[104, 1], [104, 101]]",3
"[0, 20, 175, 41]","[[104, 1]]",4
"[93, 4]","[[104, 6], [104, 43], [104, 112]]",2
"[138, 4, 6]","[[104, 6]]",3
"[4, 6, 4]","[[104, 6], [104, 102]]",3
"[6, 4, 93]","[[104, 6]]",3
"[4, 93, 4]","[[104, 6], [104, 112]]",3
"[93, 4, 92]","[[104, 6]]",3
"[4, 92, 175]","[[104, 6]]",3
"[138, 4, 6, 4]","[[104, 6]]",4
"[4, 6, 4, 93]","[[104, 6]]",4
"[6, 4, 93, 4]","[[104, 6]]",4
"[4, 93, 4, 92]","[[104, 6]]",4
"[93, 4, 92, 175]","[[104, 6]]",4
"[138, 4, 6, 4, 93]","[[104, 6]]",5
"[4, 6, 4, 93, 4]","[[104, 6]]",5
"[6, 4, 93, 4, 92]","[[104, 6]]",5
"[4, 93, 4, 92, 175]","[[104, 6]]",5
"[138, 4, 6, 4, 93, 4]","[[104, 6]]",6
"[4, 6, 4, 93, 4, 92]","[[104, 6]]",6
"[6, 4, 93, 4, 92, 175]","[[104, 6]]",6
"[138, 4, 6, 4, 93, 4, 92]","[[104, 6]]",7
"[4, 6, 4, 93, 4, 92, 175]","[[104, 6]]",7
"[138, 4, 6, 4, 93, 4, 92, 175]","[[104, 6]]",8
"[83, 41]","[[104, 7], [104, 78], [168, 89]]",2
