SN,SG,k
"[2, 0, 163]","[[1, 30]]",3
"[0, 163, 0]","[[1, 30]]",3
"[0, 6, 0]","[[1, 30], [96, 66], [179, 29]]",3
"[2, 0, 163, 0]","[[1, 30]]",4
"[0, 163, 0, 6]","[[1, 30]]",4
"[163, 0, 6, 0]","[[1, 30]]",4
"[0, 6, 0, 3]","[[1, 30]]",4
"[2, 0, 163, 0, 6]","[[1, 30]]",5
"[0, 163, 0, 6, 0]","[[1, 30]]",5
"[163, 0, 6, 0, 3]","[[1, 30]]",5
"[2, 0, 163, 0, 6, 0]","[[1, 30]]",6
"[0, 163, 0, 6, 0, 3]","[[1, 30]]",6
"[2, 0, 163, 0, 6, 0, 3]","[[1, 30]]",7
"[0, 22]","[[1, 32], [1, 54], [35, 39]]",2
"[22, 2]","[[1, 32], [1, 54]]",2
"[0, 22, 2]","[[1, 32], [1, 54]]",3
"[217, 0]","[[1, 33], [1, 71]]",2
"[0, 123]","[[1, 34], [35, 7]]",2
"[1, 23]","[[1, 35], [1, 36], [1, 39], [1, 45], [1, 62], [1, 65], [1, 67]]",2
"[23, 0]","[[1, 35], [1, 62]]",2
"[0, 10]","[[1, 35], [44, 1], [44, 8], [44, 21], [44, 42], [44, 62]]",2
"[10, 1]","[[1, 35]]",2
"[2, 1, 23]","[[1, 35], [1, 36], [1, 39], [1, 45], [1, 62], [1, 65], [1, 67]]",3
"[1, 23, 0]","[[1, 35], [1, 62]]",3
"[23, 0, 10]","[[1, 35]]",3
"[0, 10, 24]","[[1, 35]]",3
"[24, 10, 1]","[[1, 35]]",3
"[10, 1, 2]","[[1, 35]]",3
"[2, 1, 23, 0]","[[1, 35], [1, 62]]",4
"[1, 23, 0, 10]","[[1, 35]]",4
"[23, 0, 10, 24]","[[1, 35]]",4
"[0, 10, 24, 10]","[[1, 35]]",4
"[10, 24, 10, 1]","[[1, 35]]",4
"[24, 10, 1, 2]","[[1, 35]]",4
"[2, 1, 23, 0, 10]","[[1, 35]]",5
"[1, 23, 0, 10, 24]","[[1, 35]]",5
"[23, 0, 10, 24, 10]","[[1, 35]]",5
"[0, 10, 24, 10, 1]","[[1, 35]]",5
"[10, 24, 10, 1, 2]","[[1, 35]]",5
"[2, 1, 23, 0, 10, 24]","[[1, 35]]",6
"[1, 23, 0, 10, 24, 10]","[[1, 35]]",6
"[23, 0, 10, 24, 10, 1]","[[1, 35]]",6
"[0, 10, 24, 10, 1, 2]","[[1, 35]]",6
"[2, 1, 23, 0, 10, 24, 10]","[[1, 35]]",7
"[1, 23, 0, 10, 24, 10, 1]","[[1, 35]]",7
"[23, 0, 10, 24, 10, 1, 2]","[[1, 35]]",7
"[2, 1, 23, 0, 10, 24, 10, 1]","[[1, 35]]",8
"[1, 23, 0, 10, 24, 10, 1, 2]","[[1, 35]]",8
"[2, 1, 23, 0, 10, 24, 10, 1, 2]","[[1, 35]]",9
"[23, 26]","[[1, 36], [36, 63]]",2
"[26, 25]","[[1, 36]]",2
"[25, 26]","[[1, 36]]",2
"[26, 8]","[[1, 36]]",2
"[8, 1]","[[1, 36]]",2
"[1, 23, 26]","[[1, 36]]",3
"[23, 26, 25]","[[1, 36]]",3
"[26, 25, 26]","[[1, 36]]",3
"[25, 26, 8]","[[1, 36]]",3
"[26, 8, 1]","[[1, 36]]",3
"[8, 1, 2]","[[1, 36]]",3
"[2, 1, 23, 26]","[[1, 36]]",4
"[1, 23, 26, 25]","[[1, 36]]",4
